Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;07 SÉPTIMO;132;7
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;08 OCTAVO;114;6
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;09 NOVENO;87;4
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;04 MEDIA;10 DÉCIMO;99;5
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;04 MEDIA;11 ONCE;82;4
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;01 PREESCOLAR;00 TRANSICIÓN;24;1
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;01 PRIMERO;31;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;02 SEGUNDO;49;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;03 TERCERO;35;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;04 CUARTO;38;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;05 QUINTO;36;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;06 SEXTO;65;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;07 SÉPTIMO;37;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;08 OCTAVO;61;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;09 NOVENO;27;1
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;04 MEDIA;10 DÉCIMO;51;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;04 MEDIA;11 ONCE;51;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;01 PREESCOLAR;00 TRANSICIÓN;45;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;01 PRIMERO;46;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;02 SEGUNDO;35;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;03 TERCERO;46;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;04 CUARTO;57;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;05 QUINTO;50;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;06 SEXTO;61;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;07 SÉPTIMO;52;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;08 OCTAVO;40;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;09 NOVENO;51;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;04 MEDIA;10 DÉCIMO;52;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;04 MEDIA;11 ONCE;41;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;01 PREESCOLAR;00 TRANSICIÓN;51;3
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;01 PRIMERO;74;4
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;02 SEGUNDO;46;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;03 TERCERO;47;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;04 CUARTO;47;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;05 QUINTO;53;3
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;03 SECUNDARIA;06 SEXTO;41;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;03 SECUNDARIA;07 SÉPTIMO;50;3
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;03 SECUNDARIA;08 OCTAVO;35;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;03 SECUNDARIA;09 NOVENO;38;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;04 MEDIA;10 DÉCIMO;53;3
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;04 MEDIA;11 ONCE;23;1
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;01 PREESCOLAR;00 TRANSICIÓN;34;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;02 PRIMARIA;01 PRIMERO;50;3
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;02 PRIMARIA;02 SEGUNDO;45;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;02 PRIMARIA;03 TERCERO;35;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;02 PRIMARIA;04 CUARTO;32;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;02 PRIMARIA;05 QUINTO;31;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;03 SECUNDARIA;06 SEXTO;58;3
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;03 SECUNDARIA;07 SÉPTIMO;24;1
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;03 SECUNDARIA;08 OCTAVO;37;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;03 SECUNDARIA;09 NOVENO;20;1
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;04 MEDIA;10 DÉCIMO;40;2
2023;INSTITUCION EDUCATIVA RURAL SAN ANTONIO;04 MEDIA;11 ONCE;34;2
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;01 PREESCOLAR;00 TRANSICIÓN;21;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;02 PRIMARIA;01 PRIMERO;24;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;02 PRIMARIA;02 SEGUNDO;12;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;02 PRIMARIA;03 TERCERO;12;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;02 PRIMARIA;04 CUARTO;15;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;02 PRIMARIA;05 QUINTO;21;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;03 SECUNDARIA;06 SEXTO;17;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;03 SECUNDARIA;07 SÉPTIMO;13;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;03 SECUNDARIA;08 OCTAVO;17;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;03 SECUNDARIA;09 NOVENO;16;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;04 MEDIA;10 DÉCIMO;24;1
2023;INSTITUCION EDUCATIVA RURAL SAN RAFAEL;04 MEDIA;11 ONCE;18;1
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;01 PREESCOLAR;00 TRANSICIÓN;45;2
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;02 PRIMARIA;01 PRIMERO;71;4
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;02 PRIMARIA;02 SEGUNDO;68;3
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;02 PRIMARIA;03 TERCERO;69;3
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;02 PRIMARIA;04 CUARTO;60;3
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;02 PRIMARIA;05 QUINTO;68;3
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;03 SECUNDARIA;06 SEXTO;118;6
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;03 SECUNDARIA;07 SÉPTIMO;126;6
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;03 SECUNDARIA;08 OCTAVO;110;6
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;03 SECUNDARIA;09 NOVENO;115;6
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;04 MEDIA;10 DÉCIMO;128;6
2023;INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA;04 MEDIA;11 ONCE;109;5
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;01 PREESCOLAR;00 TRANSICIÓN;111;6
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;02 PRIMARIA;01 PRIMERO;140;7
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;02 PRIMARIA;02 SEGUNDO;137;7
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;02 PRIMARIA;03 TERCERO;135;7
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;02 PRIMARIA;04 CUARTO;139;7
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;02 PRIMARIA;05 QUINTO;130;7
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;03 SECUNDARIA;06 SEXTO;164;8
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;03 SECUNDARIA;07 SÉPTIMO;128;6
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;03 SECUNDARIA;08 OCTAVO;120;6
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;03 SECUNDARIA;09 NOVENO;102;5
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;04 MEDIA;10 DÉCIMO;126;6
2023;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;04 MEDIA;11 ONCE;102;5
2023;INSTITUCION EDUCATIVA SAN JOSE;01 PREESCOLAR;00 TRANSICIÓN;179;9
2023;INSTITUCION EDUCATIVA SAN JOSE;02 PRIMARIA;01 PRIMERO;197;10
2023;INSTITUCION EDUCATIVA SAN JOSE;02 PRIMARIA;02 SEGUNDO;196;10
2023;INSTITUCION EDUCATIVA SAN JOSE;02 PRIMARIA;03 TERCERO;175;9
2023;INSTITUCION EDUCATIVA SAN JOSE;02 PRIMARIA;04 CUARTO;188;9
2023;INSTITUCION EDUCATIVA SAN JOSE;02 PRIMARIA;05 QUINTO;192;10
2023;INSTITUCION EDUCATIVA SAN JOSE;03 SECUNDARIA;06 SEXTO;190;10
2023;INSTITUCION EDUCATIVA SAN JOSE;03 SECUNDARIA;07 SÉPTIMO;187;9
2023;INSTITUCION EDUCATIVA SAN JOSE;03 SECUNDARIA;08 OCTAVO;168;8
2023;INSTITUCION EDUCATIVA SAN JOSE;03 SECUNDARIA;09 NOVENO;116;6
2023;INSTITUCION EDUCATIVA SAN JOSE;04 MEDIA;10 DÉCIMO;122;6
2023;INSTITUCION EDUCATIVA SAN JOSE;04 MEDIA;11 ONCE;134;7
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;01 PREESCOLAR;00 TRANSICIÓN;87;4
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;02 PRIMARIA;01 PRIMERO;103;5
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;02 PRIMARIA;02 SEGUNDO;124;6
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;02 PRIMARIA;03 TERCERO;121;6
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;02 PRIMARIA;04 CUARTO;140;7
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;02 PRIMARIA;05 QUINTO;138;7
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;03 SECUNDARIA;06 SEXTO;102;5
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;03 SECUNDARIA;07 SÉPTIMO;107;5
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;03 SECUNDARIA;08 OCTAVO;90;5
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;03 SECUNDARIA;09 NOVENO;88;4
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;04 MEDIA;10 DÉCIMO;83;4
2023;INSTITUCION EDUCATIVA SAN JOSE C.I.P;04 MEDIA;11 ONCE;62;3
2023;INSTITUCION EDUCATIVA SAN MARTIN;01 PREESCOLAR;00 TRANSICIÓN;40;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;02 PRIMARIA;01 PRIMERO;41;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;02 PRIMARIA;02 SEGUNDO;31;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;02 PRIMARIA;03 TERCERO;39;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;02 PRIMARIA;04 CUARTO;34;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;02 PRIMARIA;05 QUINTO;42;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;03 SECUNDARIA;06 SEXTO;47;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;03 SECUNDARIA;07 SÉPTIMO;43;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;03 SECUNDARIA;08 OCTAVO;47;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;03 SECUNDARIA;09 NOVENO;36;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;04 MEDIA;10 DÉCIMO;31;2
2023;INSTITUCION EDUCATIVA SAN MARTIN;04 MEDIA;11 ONCE;17;1
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;01 PREESCOLAR;00 TRANSICIÓN;147;7
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;02 PRIMARIA;01 PRIMERO;148;7
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;02 PRIMARIA;02 SEGUNDO;153;8
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;02 PRIMARIA;03 TERCERO;177;9
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;02 PRIMARIA;04 CUARTO;180;9
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;02 PRIMARIA;05 QUINTO;222;11
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;03 SECUNDARIA;06 SEXTO;291;15
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;03 SECUNDARIA;07 SÉPTIMO;251;13
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;03 SECUNDARIA;08 OCTAVO;209;10
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;03 SECUNDARIA;09 NOVENO;209;10
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;04 MEDIA;10 DÉCIMO;170;9
2023;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;04 MEDIA;11 ONCE;121;6
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;01 PREESCOLAR;00 TRANSICIÓN;46;2
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;02 PRIMARIA;01 PRIMERO;58;3
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;02 PRIMARIA;02 SEGUNDO;59;3
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;02 PRIMARIA;03 TERCERO;68;3
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;02 PRIMARIA;04 CUARTO;69;3
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;02 PRIMARIA;05 QUINTO;77;4
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;03 SECUNDARIA;06 SEXTO;102;5
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;03 SECUNDARIA;07 SÉPTIMO;96;5
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;03 SECUNDARIA;08 OCTAVO;102;5
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;03 SECUNDARIA;09 NOVENO;100;5
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;04 MEDIA;10 DÉCIMO;81;4
2023;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;04 MEDIA;11 ONCE;65;3
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;01 PREESCOLAR;00 TRANSICIÓN;266;13
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;02 PRIMARIA;01 PRIMERO;298;15
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;02 PRIMARIA;02 SEGUNDO;304;15
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;02 PRIMARIA;03 TERCERO;315;16
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;02 PRIMARIA;04 CUARTO;292;15
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;02 PRIMARIA;05 QUINTO;294;15
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;03 SECUNDARIA;06 SEXTO;269;13
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;03 SECUNDARIA;07 SÉPTIMO;272;14
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;03 SECUNDARIA;08 OCTAVO;229;11
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;03 SECUNDARIA;09 NOVENO;186;9
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;04 MEDIA;10 DÉCIMO;212;11
2023;INSTITUCION EDUCATIVA SIMON ARAUJO;04 MEDIA;11 ONCE;190;10
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;01 PREESCOLAR;00 TRANSICIÓN;47;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;02 PRIMARIA;01 PRIMERO;47;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;02 PRIMARIA;02 SEGUNDO;32;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;02 PRIMARIA;03 TERCERO;45;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;02 PRIMARIA;04 CUARTO;38;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;02 PRIMARIA;05 QUINTO;41;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;03 SECUNDARIA;06 SEXTO;39;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;03 SECUNDARIA;07 SÉPTIMO;37;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;03 SECUNDARIA;08 OCTAVO;29;1
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;03 SECUNDARIA;09 NOVENO;27;1
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;04 MEDIA;10 DÉCIMO;21;1
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO CERRITO DE LA PALMA;04 MEDIA;11 ONCE;25;1
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;01 PREESCOLAR;00 TRANSICIÓN;49;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;02 PRIMARIA;01 PRIMERO;71;4
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;02 PRIMARIA;02 SEGUNDO;53;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;02 PRIMARIA;03 TERCERO;63;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;02 PRIMARIA;04 CUARTO;51;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;02 PRIMARIA;05 QUINTO;64;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;03 SECUNDARIA;06 SEXTO;93;5
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;03 SECUNDARIA;07 SÉPTIMO;80;4
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;03 SECUNDARIA;08 OCTAVO;74;4
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;03 SECUNDARIA;09 NOVENO;78;4
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;04 MEDIA;10 DÉCIMO;62;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE LA GALLERA;04 MEDIA;11 ONCE;51;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;01 PREESCOLAR;00 TRANSICIÓN;33;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;02 PRIMARIA;01 PRIMERO;55;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;02 PRIMARIA;02 SEGUNDO;34;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;02 PRIMARIA;03 TERCERO;45;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;02 PRIMARIA;04 CUARTO;61;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;02 PRIMARIA;05 QUINTO;61;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;03 SECUNDARIA;06 SEXTO;48;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;03 SECUNDARIA;07 SÉPTIMO;67;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;03 SECUNDARIA;08 OCTAVO;40;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;03 SECUNDARIA;09 NOVENO;60;3
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;04 MEDIA;10 DÉCIMO;47;2
2023;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA ARENA;04 MEDIA;11 ONCE;46;2
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;01 PREESCOLAR;00 TRANSICIÓN;199;10
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;02 PRIMARIA;01 PRIMERO;247;12
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;02 PRIMARIA;02 SEGUNDO;201;10
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;02 PRIMARIA;03 TERCERO;218;11
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;02 PRIMARIA;04 CUARTO;186;9
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;02 PRIMARIA;05 QUINTO;212;11
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;03 SECUNDARIA;06 SEXTO;251;13
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;03 SECUNDARIA;07 SÉPTIMO;274;14
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;03 SECUNDARIA;08 OCTAVO;231;12
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;03 SECUNDARIA;09 NOVENO;251;13
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;04 MEDIA;10 DÉCIMO;220;11
2023;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO PRIETO;04 MEDIA;11 ONCE;213;11
